Real-Time Sampling Data	V1	T(Celsius)	V2	P(MPa)	Do_1	Cycle(s)	Ratio	Do_2	Cycle(s)	Ratio	Flow(L/min)
2019_03_21_21_08_01_333	virtual	virtual	0.0476	-0.0069	1	1.0	0.50	1	1.0	0.50	0.000
2019_03_21_21_08_01_445	virtual	virtual	0.0610	0.0092	1	1.0	0.50	1	1.0	0.50	0.000
2019_03_21_21_08_01_548	virtual	virtual	0.0476	-0.0069	1	1.0	0.50	1	1.0	0.50	0.000
2019_03_21_21_08_01_662	virtual	virtual	0.0549	0.0019	1	1.0	0.50	1	1.0	0.50	0.000
2019_03_21_21_08_01_772	virtual	virtual	0.0452	-0.0098	1	1.0	0.50	1	1.0	0.50	0.000
2019_03_21_21_08_01_88	virtual	virtual	0.0549	0.0019	1	1.0	0.50	1	1.0	0.50	0.000
2019_03_21_21_08_01_99	virtual	virtual	0.0549	0.0019	1	1.0	0.50	1	1.0	0.50	0.000
2019_03_21_21_08_02_101	virtual	virtual	0.0476	-0.0069	1	1.0	0.50	1	1.0	0.50	0.000
2019_03_21_21_08_02_207	virtual	virtual	0.0452	-0.0098	1	1.0	0.50	1	1.0	0.50	0.000
2019_03_21_21_08_02_316	virtual	virtual	0.0574	0.0048	1	1.0	0.50	1	1.0	0.50	0.000
2019_03_21_21_08_02_427	virtual	virtual	0.0452	-0.0098	1	1.0	0.50	1	1.0	0.50	0.000
2019_03_21_21_08_02_533	virtual	virtual	0.0500	-0.0040	1	1.0	0.50	1	1.0	0.50	0.000
2019_03_21_21_08_02_643	virtual	virtual	0.0574	0.0048	1	1.0	0.50	1	1.0	0.50	0.000
2019_03_21_21_08_02_758	virtual	virtual	0.0452	-0.0098	1	1.0	0.50	1	1.0	0.50	0.000
2019_03_21_21_08_02_863	virtual	virtual	0.0452	-0.0098	1	1.0	0.50	1	1.0	0.50	0.000
2019_03_21_21_08_02_977	virtual	virtual	0.0549	0.0019	1	1.0	0.50	1	1.0	0.50	0.000
2019_03_21_21_08_03_086	virtual	virtual	0.0476	-0.0069	1	1.0	0.50	1	1.0	0.50	0.000
2019_03_21_21_08_03_193	virtual	virtual	0.0549	0.0019	1	1.0	0.50	1	1.0	0.50	0.000
2019_03_21_21_08_03_303	virtual	virtual	0.0476	-0.0069	1	1.0	0.50	1	1.0	0.50	0.000
2019_03_21_21_08_03_41	virtual	virtual	0.0549	0.0019	1	1.0	0.50	1	1.0	0.50	0.000
2019_03_21_21_08_03_52	virtual	virtual	0.0525	-0.0010	1	1.0	0.50	1	1.0	0.50	0.000
2019_03_21_21_08_03_629	virtual	virtual	0.0476	-0.0069	1	1.0	0.50	1	1.0	0.50	0.000
2019_03_21_21_08_03_74	virtual	virtual	0.0500	-0.0040	1	1.0	0.50	1	1.0	0.50	0.000
2019_03_21_21_08_03_849	virtual	virtual	0.0476	-0.0069	1	1.0	0.50	1	1.0	0.50	0.000
2019_03_21_21_08_03_962	virtual	virtual	0.0549	0.0019	1	1.0	0.50	1	1.0	0.50	0.000
2019_03_21_21_08_04_064	virtual	virtual	0.0549	0.0019	1	1.0	0.50	1	1.0	0.50	0.000
2019_03_21_21_08_04_177	virtual	virtual	0.0525	-0.0010	1	1.0	0.50	1	1.0	0.50	0.000
2019_03_21_21_08_04_284	virtual	virtual	0.0452	-0.0098	1	1.0	0.50	1	1.0	0.50	0.000
2019_03_21_21_08_04_395	virtual	virtual	0.0635	0.0122	1	1.0	0.50	1	1.0	0.50	0.000
2019_03_21_21_08_04_505	virtual	virtual	0.0574	0.0048	1	1.0	0.50	1	1.0	0.50	0.000
2019_03_21_21_08_04_616	virtual	virtual	0.0476	-0.0069	1	1.0	0.50	1	1.0	0.50	0.000
2019_03_21_21_08_04_722	virtual	virtual	0.0525	-0.0010	1	1.0	0.50	1	1.0	0.50	0.000
2019_03_21_21_08_04_83	virtual	virtual	0.0525	-0.0010	1	1.0	0.50	1	1.0	0.50	0.000
2019_03_21_21_08_04_939	virtual	virtual	0.0476	-0.0069	1	1.0	0.50	1	1.0	0.50	0.000
2019_03_21_21_08_05_05	virtual	virtual	0.0635	0.0122	1	1.0	0.50	1	1.0	0.50	0.000
2019_03_21_21_08_05_162	virtual	virtual	0.0427	-0.0127	1	1.0	0.50	1	1.0	0.50	0.000
2019_03_21_21_08_05_271	virtual	virtual	0.0500	-0.0040	1	1.0	0.50	1	1.0	0.50	0.000
2019_03_21_21_08_05_381	virtual	virtual	0.0500	-0.0040	1	1.0	0.50	1	1.0	0.50	0.000
2019_03_21_21_08_05_49	virtual	virtual	0.0476	-0.0069	1	1.0	0.50	1	1.0	0.50	0.000
2019_03_21_21_08_05_599	virtual	virtual	0.0427	-0.0127	1	1.0	0.50	1	1.0	0.50	0.000
2019_03_21_21_08_05_708	virtual	virtual	0.0500	-0.0040	1	1.0	0.50	1	1.0	0.50	0.000
2019_03_21_21_08_05_817	virtual	virtual	0.0635	0.0122	1	1.0	0.50	1	1.0	0.50	0.000
2019_03_21_21_08_05_922	virtual	virtual	0.0610	0.0092	1	1.0	0.50	1	1.0	0.50	0.000
2019_03_21_21_08_06_032	virtual	virtual	0.0574	0.0048	1	1.0	0.50	1	1.0	0.50	0.000
2019_03_21_21_08_06_146	virtual	virtual	0.0549	0.0019	1	1.0	0.50	1	1.0	0.50	0.000
2019_03_21_21_08_06_258	virtual	virtual	0.0549	0.0019	1	1.0	0.50	1	1.0	0.50	0.000
2019_03_21_21_08_06_367	virtual	virtual	0.0500	-0.0040	1	1.0	0.50	1	1.0	0.50	0.000
2019_03_21_21_08_06_472	virtual	virtual	0.0500	-0.0040	1	1.0	0.50	1	1.0	0.50	0.000
2019_03_21_21_08_06_58	virtual	virtual	0.0574	0.0048	1	1.0	0.50	1	1.0	0.50	0.000
2019_03_21_21_08_06_694	virtual	virtual	0.0635	0.0122	1	1.0	0.50	1	1.0	0.50	0.000
2019_03_21_21_08_06_803	virtual	virtual	0.0452	-0.0098	1	1.0	0.50	1	1.0	0.50	0.000
2019_03_21_21_08_06_911	virtual	virtual	0.0476	-0.0069	1	1.0	0.50	1	1.0	0.50	0.000
2019_03_21_21_08_07_016	virtual	virtual	0.0525	-0.0010	1	1.0	0.50	1	1.0	0.50	0.000
2019_03_21_21_08_07_134	virtual	virtual	0.0549	0.0019	1	1.0	0.50	1	1.0	0.50	0.000
