Real-Time Sampling Data	V1	T(Celsius)	V2	P(MPa)	Do_1	Cycle(s)	Ratio	Do_2	Cycle(s)	Ratio	Flow(L/min)
2019_03_21_13_30_41_848	virtual	virtual	1.3940	1.6088	1	1.0	0.50	1	1.0	0.50	0.000
2019_03_21_13_30_41_961	virtual	virtual	1.3879	1.6015	1	1.0	0.50	1	1.0	0.50	0.000
2019_03_21_13_30_42_068	virtual	virtual	1.3940	1.6088	1	1.0	0.50	1	1.0	0.50	0.000
2019_03_21_13_30_42_175	virtual	virtual	1.3940	1.6088	1	1.0	0.50	1	1.0	0.50	0.000
2019_03_21_13_30_42_287	virtual	virtual	1.3989	1.6147	1	1.0	0.50	1	1.0	0.50	0.000
2019_03_21_13_30_42_396	virtual	virtual	1.3965	1.6118	1	1.0	0.50	1	1.0	0.50	0.000
2019_03_21_13_30_42_507	virtual	virtual	1.3965	1.6118	1	1.0	0.50	1	1.0	0.50	0.000
2019_03_21_13_30_42_62	virtual	virtual	1.3965	1.6118	1	1.0	0.50	1	1.0	0.50	0.000
2019_03_21_13_30_42_725	virtual	virtual	1.3965	1.6118	1	1.0	0.50	1	1.0	0.50	0.000
2019_03_21_13_30_42_838	virtual	virtual	1.3965	1.6118	1	1.0	0.50	1	1.0	0.50	0.000
2019_03_21_13_30_42_945	virtual	virtual	1.3965	1.6118	1	1.0	0.50	1	1.0	0.50	0.000
2019_03_21_13_30_43_054	virtual	virtual	1.3965	1.6118	1	1.0	0.50	1	1.0	0.50	0.000
2019_03_21_13_30_43_161	virtual	virtual	1.3965	1.6118	1	1.0	0.50	1	1.0	0.50	0.000
2019_03_21_13_30_43_267	virtual	virtual	1.3965	1.6118	1	1.0	0.50	1	1.0	0.50	0.000
2019_03_21_13_30_43_38	virtual	virtual	1.3965	1.6118	1	1.0	0.50	1	1.0	0.50	0.000
2019_03_21_13_30_43_49	virtual	virtual	1.3965	1.6118	1	1.0	0.50	1	1.0	0.50	0.000
2019_03_21_13_30_43_605	virtual	virtual	1.3940	1.6088	1	1.0	0.50	1	1.0	0.50	0.000
2019_03_21_13_30_43_71	virtual	virtual	1.3904	1.6044	1	1.0	0.50	1	1.0	0.50	0.000
2019_03_21_13_30_43_814	virtual	virtual	1.3965	1.6118	1	1.0	0.50	1	1.0	0.50	0.000
2019_03_21_13_30_43_928	virtual	virtual	1.3965	1.6118	1	1.0	0.50	1	1.0	0.50	0.000
2019_03_21_13_30_44_035	virtual	virtual	1.3965	1.6118	1	1.0	0.50	1	1.0	0.50	0.000
2019_03_21_13_30_44_147	virtual	virtual	1.3965	1.6118	1	1.0	0.50	1	1.0	0.50	0.000
2019_03_21_13_30_44_257	virtual	virtual	1.3965	1.6118	1	1.0	0.50	1	1.0	0.50	0.000
2019_03_21_13_30_44_363	virtual	virtual	1.3940	1.6088	1	1.0	0.50	1	1.0	0.50	0.000
2019_03_21_13_30_44_474	virtual	virtual	1.3965	1.6118	1	1.0	0.50	1	1.0	0.50	0.000
2019_03_21_13_30_44_585	virtual	virtual	1.3904	1.6044	1	1.0	0.50	1	1.0	0.50	0.000
2019_03_21_13_30_44_693	virtual	virtual	1.3965	1.6118	1	1.0	0.50	1	1.0	0.50	0.000
2019_03_21_13_30_44_803	virtual	virtual	1.3965	1.6118	1	1.0	0.50	1	1.0	0.50	0.000
2019_03_21_13_30_44_91	virtual	virtual	1.3904	1.6044	1	1.0	0.50	1	1.0	0.50	0.000
2019_03_21_13_30_45_024	virtual	virtual	1.3965	1.6118	1	1.0	0.50	1	1.0	0.50	0.000
2019_03_21_13_30_45_133	virtual	virtual	1.3940	1.6088	1	1.0	0.50	1	1.0	0.50	0.000
2019_03_21_13_30_45_242	virtual	virtual	1.3940	1.6088	1	1.0	0.50	1	1.0	0.50	0.000
2019_03_21_13_30_45_352	virtual	virtual	1.3965	1.6118	1	1.0	0.50	1	1.0	0.50	0.000
2019_03_21_13_30_45_463	virtual	virtual	1.3989	1.6147	1	1.0	0.50	1	1.0	0.50	0.000
2019_03_21_13_30_45_571	virtual	virtual	1.3965	1.6118	1	1.0	0.50	1	1.0	0.50	0.000
2019_03_21_13_30_45_68	virtual	virtual	1.3965	1.6118	1	1.0	0.50	1	1.0	0.50	0.000
