Real-Time Sampling Data	V1	T(Celsius)	V2	P(MPa)	Do_1	Cycle(s)	Ratio	Do_2	Cycle(s)	Ratio	Flow(L/min)
2019_03_27_14_55_24_068	7.324	6.20	0.9045	1.0214	1	1.0	0.50	1	1.0	0.50	waiting...
2019_03_27_14_55_24_173	7.306	5.98	0.9021	1.0185	1	1.0	0.50	1	1.0	0.50	waiting...
2019_03_27_14_55_24_289	7.314	6.08	0.9021	1.0185	1	1.0	0.50	1	1.0	0.50	waiting...
2019_03_27_14_55_24_397	7.290	5.78	0.8984	1.0141	1	1.0	0.50	1	1.0	0.50	waiting...
2019_03_27_14_55_24_503	7.294	5.82	0.8984	1.0141	1	1.0	0.50	1	1.0	0.50	waiting...
2019_03_27_14_55_24_618	7.257	5.37	0.9045	1.0214	1	1.0	0.50	1	1.0	0.50	waiting...
2019_03_27_14_55_24_721	7.262	5.43	0.9070	1.0244	1	1.0	0.50	1	1.0	0.50	waiting...
2019_03_27_14_55_24_836	7.249	5.26	0.9045	1.0214	1	1.0	0.50	1	1.0	0.50	waiting...
2019_03_27_14_55_24_945	7.275	5.60	0.9045	1.0214	1	1.0	0.50	1	1.0	0.50	waiting...
2019_03_27_14_55_25_05	7.257	5.37	0.9070	1.0244	1	1.0	0.50	1	1.0	0.50	waiting...
2019_03_27_14_55_25_163	7.264	5.46	0.9070	1.0244	1	1.0	0.50	1	1.0	0.50	waiting...
2019_03_27_14_55_25_267	7.244	5.20	0.9021	1.0185	1	1.0	0.50	1	1.0	0.50	waiting...
2019_03_27_14_55_25_378	7.264	5.46	0.9045	1.0214	1	1.0	0.50	1	1.0	0.50	waiting...
2019_03_27_14_55_25_492	7.249	5.26	0.9094	1.0273	1	1.0	0.50	1	1.0	0.50	waiting...
2019_03_27_14_55_25_601	7.262	5.43	0.9021	1.0185	1	1.0	0.50	1	1.0	0.50	waiting...
2019_03_27_14_55_25_712	7.249	5.26	0.9021	1.0185	1	1.0	0.50	1	1.0	0.50	waiting...
2019_03_27_14_55_25_817	7.207	4.75	0.8960	1.0112	1	1.0	0.50	1	1.0	0.50	waiting...
2019_03_27_14_55_25_93	7.228	5.00	0.8984	1.0141	1	1.0	0.50	1	1.0	0.50	waiting...
2019_03_27_14_55_26_038	7.234	5.08	0.9045	1.0214	1	1.0	0.50	1	1.0	0.50	waiting...
2019_03_27_14_55_26_145	7.223	4.94	0.9021	1.0185	1	1.0	0.50	1	1.0	0.50	waiting...
2019_03_27_14_55_26_253	7.205	4.72	0.9045	1.0214	1	1.0	0.50	1	1.0	0.50	waiting...
2019_03_27_14_55_26_368	7.220	4.91	0.9021	1.0185	1	1.0	0.50	1	1.0	0.50	waiting...
2019_03_27_14_55_26_476	7.216	4.85	0.9021	1.0185	1	1.0	0.50	1	1.0	0.50	waiting...
2019_03_27_14_55_26_581	7.225	4.97	0.9045	1.0214	1	1.0	0.50	1	1.0	0.50	waiting...
2019_03_27_14_55_26_693	7.189	4.52	0.9021	1.0185	1	1.0	0.50	1	1.0	0.50	waiting...
2019_03_27_14_55_26_798	7.202	4.68	0.9070	1.0244	1	1.0	0.50	1	1.0	0.50	waiting...
2019_03_27_14_55_26_91	7.216	4.85	0.8984	1.0141	1	1.0	0.50	1	1.0	0.50	waiting...
2019_03_27_14_55_27_023	7.207	4.75	0.9045	1.0214	1	1.0	0.50	1	1.0	0.50	waiting...
2019_03_27_14_55_27_128	7.200	4.65	0.9021	1.0185	1	1.0	0.50	1	1.0	0.50	waiting...
2019_03_27_14_55_27_236	7.158	4.14	0.9045	1.0214	1	1.0	0.50	1	1.0	0.50	waiting...
2019_03_27_14_55_27_347	7.186	4.49	0.9045	1.0214	1	1.0	0.50	1	1.0	0.50	waiting...
2019_03_27_14_55_27_458	7.197	4.62	0.9045	1.0214	1	1.0	0.50	1	1.0	0.50	waiting...
2019_03_27_14_55_27_568	7.195	4.59	0.9045	1.0214	1	1.0	0.50	1	1.0	0.50	waiting...
2019_03_27_14_55_27_674	7.189	4.52	0.9021	1.0185	1	1.0	0.50	1	1.0	0.50	waiting...
2019_03_27_14_55_27_786	7.170	4.29	0.9021	1.0185	1	1.0	0.50	1	1.0	0.50	waiting...
2019_03_27_14_55_27_896	7.186	4.49	0.9021	1.0185	1	1.0	0.50	1	1.0	0.50	waiting...
2019_03_27_14_55_28_003	7.205	4.72	0.9070	1.0244	1	1.0	0.50	1	1.0	0.50	waiting...
2019_03_27_14_55_28_116	7.150	4.03	0.9021	1.0185	1	1.0	0.50	1	1.0	0.50	waiting...
2019_03_27_14_55_28_227	7.137	3.88	0.9021	1.0185	1	1.0	0.50	1	1.0	0.50	waiting...
2019_03_27_14_55_28_335	7.173	4.32	0.9045	1.0214	1	1.0	0.50	1	1.0	0.50	waiting...
2019_03_27_14_55_28_443	7.145	3.97	0.9021	1.0185	1	1.0	0.50	1	1.0	0.50	waiting...
2019_03_27_14_55_28_55	7.170	4.29	0.9021	1.0185	1	1.0	0.50	1	1.0	0.50	waiting...
2019_03_27_14_55_28_664	7.150	4.03	0.8984	1.0141	1	1.0	0.50	1	1.0	0.50	waiting...
2019_03_27_14_55_28_774	7.150	4.03	0.8936	1.0083	1	1.0	0.50	1	1.0	0.50	waiting...
2019_03_27_14_55_28_878	7.156	4.11	0.9021	1.0185	1	1.0	0.50	1	1.0	0.50	waiting...
2019_03_27_14_55_28_989	7.126	3.74	0.9021	1.0185	1	1.0	0.50	1	1.0	0.50	waiting...
2019_03_27_14_55_29_099	7.147	4.00	0.9021	1.0185	1	1.0	0.50	1	1.0	0.50	waiting...
2019_03_27_14_55_29_206	7.156	4.11	0.9094	1.0273	1	1.0	0.50	1	1.0	0.50	waiting...
2019_03_27_14_55_29_319	7.158	4.14	0.9094	1.0273	1	1.0	0.50	1	1.0	0.50	waiting...
2019_03_27_14_55_29_425	7.126	3.74	0.9045	1.0214	1	1.0	0.50	1	1.0	0.50	waiting...
2019_03_27_14_55_29_538	7.124	3.71	0.9045	1.0214	1	1.0	0.50	1	1.0	0.50	waiting...
2019_03_27_14_55_29_647	7.147	4.00	0.9021	1.0185	1	1.0	0.50	1	1.0	0.50	waiting...
2019_03_27_14_55_29_753	7.124	3.71	0.8911	1.0053	1	1.0	0.50	1	1.0	0.50	waiting...
2019_03_27_14_55_29_863	7.129	3.77	0.9045	1.0214	1	1.0	0.50	1	1.0	0.50	waiting...
2019_03_27_14_55_29_976	7.134	3.83	0.9021	1.0185	1	1.0	0.50	1	1.0	0.50	waiting...
2019_03_27_14_55_30_081	7.124	3.71	0.8960	1.0112	1	1.0	0.50	1	1.0	0.50	waiting...
2019_03_27_14_55_30_192	7.090	3.29	0.9021	1.0185	1	1.0	0.50	1	1.0	0.50	waiting...
2019_03_27_14_55_30_302	7.131	3.80	0.9021	1.0185	1	1.0	0.50	1	1.0	0.50	waiting...
2019_03_27_14_55_30_41	7.126	3.74	0.9045	1.0214	1	1.0	0.50	1	1.0	0.50	waiting...
2019_03_27_14_55_30_519	7.113	3.58	0.9045	1.0214	1	1.0	0.50	1	1.0	0.50	waiting...
2019_03_27_14_55_30_633	7.129	3.77	0.9045	1.0214	1	1.0	0.50	1	1.0	0.50	waiting...
2019_03_27_14_55_30_848	7.122	3.68	0.9094	1.0273	1	1.0	0.50	1	1.0	0.50	waiting...
2019_03_27_14_55_30_956	7.119	3.65	0.9021	1.0185	1	1.0	0.50	1	1.0	0.50	waiting...
2019_03_27_14_55_31_067	7.113	3.58	0.9119	1.0302	1	1.0	0.50	1	1.0	0.50	waiting...
2019_03_27_14_55_31_173	7.106	3.49	0.9070	1.0244	1	1.0	0.50	1	1.0	0.50	waiting...
2019_03_27_14_55_31_286	7.122	3.68	0.9045	1.0214	1	1.0	0.50	1	1.0	0.50	waiting...
2019_03_27_14_55_31_398	7.095	3.35	0.9021	1.0185	1	1.0	0.50	1	1.0	0.50	waiting...
2019_03_27_14_55_31_501	7.080	3.17	0.9021	1.0185	1	1.0	0.50	1	1.0	0.50	waiting...
2019_03_27_14_55_31_615	7.083	3.20	0.8984	1.0141	1	1.0	0.50	1	1.0	0.50	waiting...
2019_03_27_14_55_31_725	7.080	3.17	0.9021	1.0185	1	1.0	0.50	1	1.0	0.50	waiting...
